direction_id,from,to,classification,economic_classification,api_rate,xml_amount_reserve,in_canonical_xml,reasons
14,BTC,SBERRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,5470550.297413961572817478,100000000,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
15,USDTTRC20,SBERRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,83.358494968738897216,100000000,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
20,BTC,SBPRUB,NOT_ELIGIBLE,REVIEW,5387060.281204546678877336,10000000,True,economic_REVIEW
21,BTC,ACRUB,NOT_ELIGIBLE,REVIEW,5350340.28164191242563027,10000000,True,economic_REVIEW
25,USDTTRC20,ACRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,83.63842967259411211,10000000,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
26,USDTTRC20,RFBRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,83.768637998925902896,10000000,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
27,USDTTRC20,TCSBRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,83.681433020771572667,96679070,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
28,USDTTRC20,TBRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,83.638230265951963756,10000000,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
160,LTC,SBPRUB,NOT_ELIGIBLE,NO_BASELINE,3916.9971001354123524,10000000,False,missing_from_canonical_xml;economic_NO_BASELINE
161,ETH,SBPRUB,NOT_ELIGIBLE,REVIEW,157023.169993356222488813,10000000,True,economic_REVIEW
168,TRX,SBERRUB,NOT_ELIGIBLE,REVIEW,27.211300001721250781,100000000,True,economic_REVIEW
187,BTC,RFBRUB,NOT_ELIGIBLE,REVIEW,5424624.009654060139907475,10000000,True,economic_REVIEW
212,BTC,TCSBRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,5470550.037049765122672683,96679070,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
214,BTC,TBRUB,NOT_ELIGIBLE,REVIEW,5460682.501152605367907034,10000000,True,economic_REVIEW
223,LTC,SBERRUB,NOT_ELIGIBLE,NO_BASELINE,3922.219608237174203622,100000000,False,missing_from_canonical_xml;economic_NO_BASELINE
224,LTC,ACRUB,NOT_ELIGIBLE,NO_BASELINE,3904.275799891569359288,10000000,False,missing_from_canonical_xml;economic_NO_BASELINE
225,LTC,TCSBRUB,NOT_ELIGIBLE,NO_BASELINE,3927.901299290792006891,96679070,False,missing_from_canonical_xml;economic_NO_BASELINE
226,LTC,RFBRUB,NOT_ELIGIBLE,NO_BASELINE,3916.9971001354123524,10000000,False,missing_from_canonical_xml;economic_NO_BASELINE
268,USDTTRC20,SBPRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,84.246699374868872589,10000000,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
325,BNBBEP20,SBERRUB,NOT_ELIGIBLE,REVIEW,47026.376391944178193902,100000000,True,economic_REVIEW
326,BNBBEP20,SBPRUB,NOT_ELIGIBLE,REVIEW,47728.719990062575034261,10000000,True,economic_REVIEW
373,ETH,SBERRUB,NOT_ELIGIBLE,REVIEW,156391.339210406633530826,100000000,True,economic_REVIEW
374,ETH,ACRUB,NOT_ELIGIBLE,REVIEW,156391.33908811537872633,10000000,True,economic_REVIEW
375,ETH,TCSBRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,157105.786591626348736956,96679070,True,economic_QUARANTINE_REQUIRED
376,ETH,RFBRUB,NOT_ELIGIBLE,REVIEW,157034.58408983213131415,10000000,True,economic_REVIEW
1011,BNBBEP20,TBRUB,NOT_ELIGIBLE,REVIEW,47744.756995093060769235,10000000,True,economic_REVIEW
1029,USDTBEP20,SBPRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,83.736015976979964375,10000000,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
1030,USDTBEP20,TCSBRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,84.142413203313528232,96679070,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
1056,USDTBEP20,SBERRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,83.941717065002767496,100000000,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
1057,USDTBEP20,ACRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,83.638329969154183907,10000000,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
1058,USDTBEP20,RFBRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,83.768138493781031973,10000000,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
1059,USDTBEP20,TBRUB,NOT_ELIGIBLE,REVIEW,83.624372009693737204,10000000,True,economic_REVIEW
1305,USDTTRC20,CARDRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,79.932782487024202205,241092.4551,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
1307,USDTBEP20,CARDRUB,NOT_ELIGIBLE,QUARANTINE_REQUIRED,79.934432561639449826,241092.4551,False,missing_from_canonical_xml;economic_QUARANTINE_REQUIRED
1415,USDTTRC20,YAMRUB,NOT_ELIGIBLE,REVIEW,82.341173533577660132,9442843.445,True,economic_REVIEW
1417,USDTBEP20,YAMRUB,NOT_ELIGIBLE,REVIEW,82.096006972823102044,9442843.445,True,economic_REVIEW
1419,BTC,YAMRUB,NOT_ELIGIBLE,REVIEW,5319941.267848402953631391,9442843.445,True,economic_REVIEW
1420,LTC,YAMRUB,NOT_ELIGIBLE,NO_BASELINE,3875.233100502559914657,9442843.445,False,missing_from_canonical_xml;economic_NO_BASELINE
1422,BNBBEP20,YAMRUB,NOT_ELIGIBLE,REVIEW,46647.079613913280017083,9442843.445,True,economic_REVIEW
1423,ETH,YAMRUB,NOT_ELIGIBLE,REVIEW,153788.802500048844092618,9442843.445,True,economic_REVIEW
1973,BTC,CARDRUB,NOT_ELIGIBLE,REVIEW,5136636.758295937235478256,241092.4551,True,economic_REVIEW
